mol,mseq,S
O=C(OC(CN1C(=O)c2c(c(OC)c(OC)c(OC)c2)N=N1)CN1CCOCC1)c1cc(OC)c(OC)c(OC)c1,378,-7.518837
O=[N+]([O-])c1cc([C@]2C(C(=O)OCCCN3CCC(c4ccccc4)(c4ccccc4)CC3)=C(C)NC(C)=C2C(=O)OC)ccc1,462,-7.5166874
O=[N+]([O-])c1cc2c3c(C(=O)N([C@@](CNCCNC[C@@](C)N4C(=O)c5c6c(cc([N+](=O)[O-])c5)cccc6C4=O)C)C(=O)c3ccc2)c1,319,-7.5134234
O=[N+]([O-])c1cc2c3c(C(=O)N([C@@](CNCCNC[C@@](C)N4C(=O)c5c6c(cc([N+](=O)[O-])c5)cccc6C4=O)C)C(=O)c3ccc2)c1,319,-7.5056472
Ic1c(N(C(=O)C)CC(O)COCCCCOCC(O)CN(C(=O)C)c2c(I)c(N(C(=O)C)C)c(I)c(C(=O)O)c2I)c(I)c(C(=O)O)c(I)c1N(C(=O)C)C,276,-7.5021305
O=C(OCC(O)COC(=O)CCCCCCCCCCCCCCCCC)CCCCCCCCCCCCCCCCC,45,-7.5006595
O=C(OC(CN1C(=O)c2c(c(OC)c(OC)c(OC)c2)N=N1)CN1CCOCC1)c1cc(OC)c(OC)c(OC)c1,378,-7.4989734
O(CCO[C@]1[C@](OC)C[C@](C[C@@](C)[C@]2OC(=O)[C@]3N(C(=O)C(=O)[C@@]4(O)[C@](C)CC[C@](O4)C[C@](OC)/C(/C)=C/C=C/C=C/[C@@](C)C[C@@](C)C(=O)[C@](OC)[C@](O)/C(/C)=C/[C@@](C)C(=O)C2)CCCC3)CC1)CC,139,-7.48806
Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)/C=C/CN(C)C)c(OCC)c3)c1,592,-7.481647
ClC(Cl)C(=O)N(CCOCC)Cc1ccc(CN(C(=O)C(Cl)Cl)CCOCC)cc1,136,-7.4705954
Brc1ccc(C2(OC(=O)CCCCCCCCC)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,104,-7.4699879
ClCCN1C(=O)[C@]2([C@](OC(=O)C)[C@@]3(CC)[C@@]4N(CC=C3)CC[C@]34c4c(N(C)[C@@]23)cc(OC)c([C@]2(C(=O)OC)c3[nH]c5c(c3CCN3C[C@](O)(CC)C[C@@](C2)C3)cccc5)c4)OC1=O,348,-7.4662485
ClCCN(CCCl)c1ccc(CCCC(=O)OCC(=O)O[C@@]2[C@]3(C)[C@]([C@]4[C@@](c5c(cc(OC(=O)c6ccccc6)cc5)CC4)CC3)CC2)cc1,649,-7.4530096
O(CCN(CC)CC)c1c(OCCN(CC)CC)cc2OC(=O)C=C(C)c2c1,371,-7.4483523
FC=1C(=O)N(C(=O)c2cc(C(=O)Oc3c(C#N)ccc(OC(=O)c4ccccc4)n3)ccc2)C(=O)N(COCC)C=1,522,-7.4463997
Ic1c(N(C(=O)C)CC(O)COCCCCOCC(O)CN(C(=O)C)c2c(I)c(N(C(=O)C)C)c(I)c(C(=O)O)c2I)c(I)c(C(=O)O)c(I)c1N(C(=O)C)C,276,-7.4380431
O=C(O)CN(CC(=O)NCCOC)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)NCCOC,127,-7.4375172
SP(=O)(OC[C@@]1[C@@](O)C[C@](n2c3ncnc(N)c3nc2)O1)O[C@]1[C@@](OC)[C@](N2C(=O)NC(=O)C=C2)O[C@@]1CO,495,-7.4347882
O=C(OC(CN1C(=O)c2c(c(OC)c(OC)c(OC)c2)N=N1)CN1CCOCC1)c1cc(OC)c(OC)c(OC)c1,378,-7.4240403
O=C(O)CN(CC(=O)NCCOC)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)NCCOC,127,-7.4236865
Brc1ccc(C2(OC(=O)CCCCCCCCC)CCN(CCCC(=O)c3ccc(F)cc3)CC2)cc1,104,-7.4236159
O=C(O)CN(CC(=O)NCCOC)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)NCCOC,127,-7.4197354
ClCCN(CCCl)c1ccc(CCCC(=O)OCC(=O)O[C@@]2[C@]3(C)[C@]([C@]4[C@@](c5c(cc(OC(=O)c6ccccc6)cc5)CC4)CC3)CC2)cc1,649,-7.4099612
O=C(OCC)CCCn1c(-c2cc3[C@@](OC4=NNC(=O)C=C4)[C@@](O)(C)C(C)(C)Oc3cc2)nnn1,103,-7.4054208
O(CCCCN1CCN(CCc2cc(OC)c(OC)c(OC)c2)CC1)c1c([C@]2(C(C)C)C(=O)N(C)c3c(S2)cccc3)cccc1,505,-7.3985095
Fc1cc2c(C(=O)NCCN3CCCC3)cc(-c3ccc(CN4CCOCC4)cc3)nc2cc1,444,-7.3945246
S(=O)(=O)(O)C(Nc1ccc(S(=O)(=O)c2ccc(NC(S(=O)(=O)O)[C@](O)[C@@](O)[C@](O)[C@](O)CO)cc2)cc1)[C@](O)[C@@](O)[C@](O)[C@](O)CO,418,-7.3729892
O=C(OCC(COC(=O)C(CC)c1ccccc1)(COC(=O)C(CC)c1ccccc1)COC(=O)C(CC)c1ccccc1)C(CC)c1ccccc1,445,-7.3728585
O(CCN1CCOCC1)c1c2C(C)=CC(=O)Oc2cc(OCCN2CCOCC2)c1,587,-7.3680973
O(CC)c1c(OCC)cc(-c2nccc3c2cc(OC)c(OC)c3)cc1OCC,388,-7.3609653
O=C(N[C@@]1C(=O)N2C(C(=O)[O-])=C(C[n+]3c4c(ccc3)CCCC4)CS[C@]12)/C(=N\OC)/c1nc(N)sc1,559,-7.3571835
O=C(N(C)C1CCCCC1)CO/N=C(/c1cc2c(N=C3N(CC(=O)N3)C2)cc1)\c1ccccc1,22,-7.3567224
O=C(OCC)CCCn1c(-c2cc3[C@@](OC4=NNC(=O)C=C4)[C@@](O)(C)C(C)(C)Oc3cc2)nnn1,103,-7.3522916
ClCCN1C(=O)[C@]2([C@](OC(=O)C)[C@@]3(CC)[C@@]4N(CC=C3)CC[C@]34c4c(N(C)[C@@]23)cc(OC)c([C@]2(C(=O)OC)c3[nH]c5c(c3CCN3C[C@](O)(CC)C[C@@](C2)C3)cccc5)c4)OC1=O,348,-7.3515458
O=C(O)[C@](NC(=O)[C@@](NC(=O)CCCCCCCCCCC)C)CCC(=O)N[C@](C(=O)O)CCC[C@](N)C(=O)N,402,-7.3410254
Brc1c(c(C(=O)c2cc(Cl)c(OCCCN(CCCC)CCCC)cc2)n2c1C=CC=C2)-c1ccccc1,461,-7.340003
O=[N+]([O-])c1cc2c3c(C(=O)N([C@@](CNCCNC[C@@](C)N4C(=O)c5c6c(cc([N+](=O)[O-])c5)cccc6C4=O)C)C(=O)c3ccc2)c1,319,-7.3379178
O=C(Oc1c(OC(=O)c2cnccc2)ccc(Cc2nccc3c2cc(OC)c(OC)c3)c1)c1cnccc1,274,-7.3338461
O=C(OCC(COC(=O)C(CC)c1ccccc1)(COC(=O)C(CC)c1ccccc1)COC(=O)C(CC)c1ccccc1)C(CC)c1ccccc1,445,-7.3223143
O=C(Oc1c2c(N[C@@](C)[C@]3[C@]2C[C@](O)CC3)cc(O[C@@](CCCc2ccccc2)C)c1)C,172,-7.3214321
O=C(Oc1c2c(N[C@@](C)[C@]3[C@]2C[C@](O)CC3)cc(O[C@@](CCCc2ccccc2)C)c1)C,172,-7.3210859
O(CCn1c(C2CCN(CCc3ccc(C(C)(C)C)cc3)CC2)nc2c1cccc2)CC,106,-7.3108635
O=C(O)CN(CC(=O)NCCOC)CCN(CC(=O)O)CCN(CC(=O)O)CC(=O)NCCOC,127,-7.3081264
O=C(c1cc(C)c(OCCCN(CCCC)CCCC)c(C)c1)C=1Oc2c(C(=O)C=1)cccc2,116,-7.3067474
FC=1C(=O)N(C(=O)c2cc(C(=O)Oc3c(C#N)ccc(OC(=O)c4ccccc4)n3)ccc2)C(=O)N(COCC)C=1,522,-7.3066144
Clc1c(OCc2cc(F)ccc2)ccc(Nc2c(C#N)cnc3c2cc(NC(=O)/C=C/CN(C)C)c(OCC)c3)c1,592,-7.3055444
O=C(Oc1c2c(N[C@@](C)[C@]3[C@]2C[C@](O)CC3)cc(O[C@@](CCCc2ccccc2)C)c1)C,172,-7.3038874
O=C(O)CCc1c(OCC)nn(Cc2ccc(OCc3nc(-c4ccccc4)sc3)cc2)c1,457,-7.3013163
