mol,mseq,S
O(CC(O)CNCCN1C(=O)NC(=O)C(C)=C1)c1c(C)cccc1,499,-6.1795125
O=C(NCCCOc1cc(CN2CCCCC2)ccc1)NCC,411,-6.1793251
O=C(NCc1c(N)nc(C)cc1)c1cc(OC)c(OC)c(OC)c1,508,-6.1789465
O=C1NC(=O)CN(C[C@@]2C=C3c4c5c([nH]cc5C[C@]3N(C)C2)ccc4)C1,596,-6.1783342
O=C1C(C)=C(c2ccccc2)Oc2c1cc(CN(CC)CC)cc2,383,-6.1771002
[S@](=O)(CC[C@@](C(=O)O[C@@]1C2CCN(C1)CC2)(CO)c1ccccc1)C,363,-6.1769638
O=C(O)[C@]1O[C@@]2[C@@](Cc3ccccc3)N(Cc3ccccc3)C(=O)[C@]1O2,538,-6.1764688
O(CCOCCN1CCCCC1)CCOc1c(OC)cccc1,616,-6.1747231
O=C(CCc1ccccc1)c1c(OCC(O)CNC(CC)(C)C)cccc1,275,-6.1745019
O=C(OCC[N+]1(CC)CCCC1)c1cc(OC)c(OC)c(OC)c1,277,-6.173337
OCc1ccc(/C=C(\C)/c2cc3C(C)(C)C(O)CC(C)(C)c3cc2)cc1,500,-6.1725721
O=C(O)[C@@](Oc1nc(C)cc(C)n1)C(OCCc1cc(OC)c(OC)cc1)(c1ccccc1)c1ccccc1,443,-6.1713238
O=C(O)C1C(C(=O)N(CC)CC)C=2C(=O)CC(C)(C)CC=2CC1c1ccccc1,625,-6.1712232
ClC=1C(=O)N(C(C)(C)C)N=CC=1OCc1ccc(COCCF)cc1,401,-6.1704688
Ic1c(NC(=O)c2ccc(F)cc2)cc(OC)c(C(=O)NCCN(CC)CC)c1,79,-6.1704068
O=C(NCc1c(N)nc(C)cc1)c1cc(OC)c(OC)c(OC)c1,508,-6.1697922
ClCCN(CCCl)c1cc(C[C@](N)C(=O)O)ccc1,393,-6.1697297
O=C(NCCCOc1cc(CN2CCCCC2)ccc1)NCC,411,-6.1694655
O=C(O)[C@]1O[C@@]2[C@@](Cc3ccccc3)N(Cc3ccccc3)C(=O)[C@]1O2,538,-6.1685448
C(CC[N+]1(C)CCCCC1)(c1ccccc1)C1=CCCCC1,165,-6.1684942
Clc1c(CCN2CCC(O)(C(C(=O)N(C)C3CCCCC3)C)CC2)cccc1,635,-6.1684704
O(CCOCCN1CCCCC1)CCOc1c(OC)cccc1,616,-6.168231
O=C(O[C@@](C)[C@@]1[C@]2(COC(=O)C)[C@]([C@]3[C@@]([C@]4(C)[C@](C[C@@](N(C)C)CC4)CC3)CC2)CC1)C,636,-6.1682105
S(CCNC=1N(C)C(N)=NS(=O)(=O)N=1)Cc1nc(/N=C(\N)/N)sc1,269,-6.1680617
O=C(N(CC/C=C/1\c2c(cccc2)CCc2c\1cccc2)C)CCCN,85,-6.1671386
S(=O)(=O)(N)c1c(C)ccc(C(O)CNCCOc2c(OC)cccc2)c1,384,-6.166347
Fc1ccc(C(=O)CCCN2CC3N(Cc4[nH]c5c(c4C3)cccc5)CC2)cc1,569,-6.1660604
O=C(Nc1[nH]nnn1)C=1C(=O)N2C(=C(Oc3ccccc3)C=1)C=CC=C2,357,-6.1659799
C(Cc1n[nH]c(C)c1)N1CCN(c2cc(C)ccc2)CC1,224,-6.165822
O=C(N(C(C(=O)N(C)C)CC)CCC)/C=C/C,188,-6.1654568
O=[N+](O[C@@]([C@](O[N+](=O)[O-])[C@](O[N+](=O)[O-])CO[N+](=O)[O-])[C@](O[N+](=O)[O-])CO[N+](=O)[O-])[O-],491,-6.1654491
P(=O)(OP(=O)(OC[C@@]1[C@@](O)[C@](O)[C@](n2c3NC(N)=NC(=O)c3nc2)O1)O)(OP(=O)(O)O)O,56,-6.1646957
O(CC(O)CN(CCC1c2c(OCc3c1cccc3)cccc2)C)c1ccccc1,131,-6.1644073
Fc1ccc(C(=O)CCCN2CC3N(Cc4[nH]c5c(c4C3)cccc5)CC2)cc1,569,-6.1628199
Fc1ccc(-c2[nH]c(CN3CCN(c4c5occc5ccc4)CC3)cc2)cc1,510,-6.162539
O=C(OC1CCN(c2nncc3c2cc(OC)c(OC)c3)CC1)NCC,365,-6.1624856
Fc1c(F)ccc(OC[C@@](O)CN2CCC(N(C)c3sc4c(n3)cccc4)CC2)c1,511,-6.1621089
O=C(OC1CCN(C)CC1)C(C(CC)C)c1ccccc1,223,-6.1601686
Ic1c(NC(=O)CCC)c(I)cc(I)c1CC(C(=O)O)CC,565,-6.1588655
O(CCN1CCCC1)c1ccc(C2=C(c3ccccc3)CCc3c2ccc(OC)c3)cc1,513,-6.1588225
O=C(OC(C)C)Oc1c(C)cc(OCCN(C)C)c(C(C)C)c1,307,-6.1586099
ICCCCCCCCCCCCCCCC(=O)O,217,-6.1585598
Ic1c(Oc2cc(I)c(OC(=O)C)cc2)c(I)cc(C(=O)O)c1,296,-6.1579895
S(=O)(C)c1c(O)ccc(C(O)CNC(CCc2ccc(OC)cc2)C)c1,408,-6.157958
Clc1c(C(=O)Nc2[nH]ccn2)cc(CNC(=O)C(C)(C)C)cc1,25,-6.1576638
O=C(O)c1nc2c(CCC)c3OC(C(=O)O)=CC(=O)c3cc2c(NC)c1,581,-6.1576362
O=C(OCC[N+](CC)(C)C)C(O)(c1ccccc1)c1ccccc1,421,-6.1575413
Clc1c(C(=O)Nc2[nH]ccn2)cc(CNC(=O)C(C)(C)C)cc1,25,-6.1571798
O=C1N=C2C(Cc3ccc(-c4c(-c5[nH]nnn5)cccc4)cc3)=C(CCC)N=C(C)N2N1,336,-6.1570435
FC(F)(F)Oc1ccc(-c2cc3c(C(=O)C(=O)O)cn(Cc4ccccc4)c3cc2)cc1,75,-6.1566339
O([C@]1[C@](O)[C@@](O[C@@]2[C@](O)[C@@](NC)[C@](O)(C)CO2)[C@](N)C[C@@]1N)[C@@]1[C@](O)[C@@](O)[C@](O)[C@@](CN)O1,394,-6.1554031
C(Cc1n[nH]c(C)c1)N1CCN(c2cc(C)ccc2)CC1,224,-6.1551576
S(=O)(=O)(O)c1c2c(c(N)c(/N=N/c3ccc(-c4ccc(/N=N/c5c(N)c6c(c(S(=O)(=O)O)c5)cccc6)cc4)cc3)c1)cccc2,88,-6.1547523
FC(F)(F)[C@@](Oc1c(C(F)(F)F)cc(-c2onc(-c3cc4nc[nH]c4cc3)n2)cc1)C,642,-6.1547208
O=C(OC(C#C)(c1ccccc1)c1ccccc1)NC1CCCCC1,471,-6.1544619
Fc1ccc(C(=O)CCCN2CCN(C(=O)OC3CCCCC3)CC2)cc1,590,-6.1542296
S(=O)(=O)(Nc1nc(CC)nc(CC)n1)c1ccc(N)cc1,399,-6.1523523
O(C)c1cc(NCCCCCNC(C)C)c2ncccc2c1,594,-6.150733
Clc1cc2nccc(Nc3cc(CNC(C)(C)C)c(O)c(-c4ccc(Cl)cc4)c3)c2cc1,140,-6.1504197
N(\CCCCCCCC)=C/1\C=CN(CCCCCCCC)C=C\1,212,-6.1495891
O=C(Nc1[nH]nnn1)C=1C(=O)N2C(=C(Oc3ccccc3)C=1)C=CC=C2,357,-6.1487989
S(/C=C(/n1cncc1)\c1c(OCCCCC)cccc1)C,55,-6.1480432
O=C1C=C2[C@@](C)([C@@]3[C@@]([C@@](C)C2)[C@]2[C@@](C)([C@](O)(C)CC2)CC3)CC1,485,-6.1471572
O=C(OC1CCN(C)CC1)C(C(CC)C)c1ccccc1,223,-6.1469979
O=C1C(C)=C(c2ccccc2)Oc2c1cc(CN(CC)CC)cc2,383,-6.1464405
O=C(OC(C#C)(c1ccccc1)c1ccccc1)NC1CCCCC1,471,-6.1455827
O=C(Nc1ccccc1)c1c(OCCN(CC)CC)cccc1,266,-6.1451221
O=C1C(C)=C(c2ccccc2)Oc2c1cc(CN(CC)CC)cc2,383,-6.1449156
O=[N+]([O-])c1c(C2C(C(=O)OCC(=O)C)=C(C)NC(C)=C2C(=O)OC)cccc1,155,-6.142312
P(CCCOC)(CCCOC)CCCOC,76,-6.1411228
ClC(Cl)(Cl)C(O[C@@]1[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1)O,84,-6.1407151
O(C)c1ccc(C=2C(c3ccc(OC)cc3)=NC(=O)N(CC3CC3)N=2)cc1,112,-6.1391182
O=C(Nc1c(OC)cc(C)cc1C)CCN1C(C)CCCC1,234,-6.138341
Clc1cc2NC(=O)c3c(N(C(=O)CN(CCO)CCO)c2cc1)cccc3,77,-6.1375818
O=[N+]([O-])c1c(C2C(C(=O)OCC(=O)C)=C(C)NC(C)=C2C(=O)OC)cccc1,155,-6.1368217
S=C(Nc1ccc(Nc2ccc([N+](=O)[O-])cc2)cc1)N1CCN(C)CC1,366,-6.1367946
O(Cc1sc(C(C)C)nn1)c1cc2OC(=O)C(C)=C(C)c2cc1,414,-6.1358256
O(CCNC(Cc1ccccc1)C)c1ccc(C(O)CC)cc1,272,-6.1357775
O(C)c1c2O[C@]3[C@]4(OC)[C@@]([C@](O)(CC)C)C[C@]5([C@]63c2c(cc1)C[C@]5N(CC1CC1)CC6)C=C4,556,-6.1353965
Fc1c(N2CCN(C)CC2)c2c3N(C(C)CC2)C=C(C(=O)O)C(=O)c3c1,577,-6.135077
Ic1c(CC(C(=O)O)CC)c(I)cc(I)c1N1C(=O)CCC1,335,-6.134901
O=C(OC(C(CN(C)C)=C)(Cc1ccccc1)c1ccccc1)CC,193,-6.1341071
O=C(O)c1nc2c(CCC)c3OC(C(=O)O)=CC(=O)c3cc2c(NC)c1,581,-6.132998
C(c1ccncc1)C1(Cc2ccncc2)c2c(nccc2)-c2ncccc12,437,-6.1329246
O=C(OCCCN1C(C)CCCC1)c1ccc(OC2CCCCC2)cc1,430,-6.1322041
S(=O)(=O)(OCCNC[C@@](O)[C@@](O)CNCCOS(=O)(=O)C)C,576,-6.1319151
O(Cc1ccc(Cc2noc(-c3c(N)nccc3)c2)cc1)c1ncccc1,543,-6.1314163
O(CC(O)CN(CCC1c2c(OCc3c1cccc3)cccc2)C)c1ccccc1,131,-6.1311522
Clc1ccc(C(C(=O)OC(C#N)c2cc(Oc3ccccc3)ccc2)C(C)C)cc1,1,-6.1300721
S=C(NC(=O)OCC)Nc1c(NC(=S)NC(=O)OCC)cccc1,2,-6.1298609
O=C(OCCCN1C(C)CCCC1)c1ccc(OC2CCCCC2)cc1,430,-6.1298318
S(CCN/C(=N/C#N)/NCC#C)Cc1c(C)[nH]cn1,441,-6.1296372
O=C(N(CC/C=C/1\c2c(cccc2)CCc2c\1cccc2)C)CCCN,85,-6.1293774
Clc1ccc(C(C(=O)OC(C#N)c2cc(Oc3ccccc3)ccc2)C(C)C)cc1,1,-6.1290002
O(C)c1c2O[C@]3[C@]4(OC)[C@@]([C@](O)(CC)C)C[C@]5([C@]63c2c(cc1)C[C@]5N(CC1CC1)CC6)C=C4,556,-6.1289959
O=C(OC)C(C)c1cc(C(n2cncc2)c2ccccc2)ccc1,149,-6.1283679
FC(F)(F)c1cc2N(CCCN3CCN(CCO)CC3)c3c(scc3)Sc2cc1,605,-6.1275487
C(Cc1ccccc1)N1CCC(CCc2c3c([nH]c2)cccc3)CC1,219,-6.1263318
Brc1oc(C(=O)OC(CC[N+](CC)(CC)C)C)cc1,582,-6.1261888
O(C(c1ccccc1)c1ccccc1)CCN(C/C=C/c1ccccc1)C,666,-6.1258783
O(CC(O)CNCCN1C(=O)NC(=O)C(C)=C1)c1c(C)cccc1,499,-6.1250658
Fc1c(/N=C\2/NCCC/2)ccc(-c2cc(F)c(/N=C\3/NCCC/3)cc2)c1,655,-6.1247182
Brc1oc(C(=O)OC(CC[N+](CC)(CC)C)C)cc1,582,-6.1243501
N(CCCCCCCCCCCCCCCCCC)(C)C,490,-6.1232815
N(CCCCCCCCCCCCCCCCCC)(C)C,490,-6.1232243
O=C1C(CCN2Cc3c4c(oc3CC2)cccc4)=C(C)N=C2N1C=CC=C2,624,-6.1223555
O=C(OCCN1CCN(CCCC(=O)c2sccc2)CC1)N(C)C,597,-6.1220646
O=[N+]([O-])c1oc(/C=N/N2C(=O)N(CN3CCOCC3)C(=O)C2)cc1,35,-6.1215167
O=C1N(N(c2ccccc2)C(O)=C1CCCC)c1ccccc1,71,-6.1211967
O(CC(O)CN(CCC1c2c(OCc3c1cccc3)cccc2)C)c1ccccc1,131,-6.1211209
Brc1cnc(NC(=S)NCCc2ncccc2)cc1,326,-6.120666
O=C(OCCN(C)C)C(OCC#C)(c1ccccc1)c1ccccc1,218,-6.1200013
O=C(OCCN1CCN(CCCC(=O)c2sccc2)CC1)N(C)C,597,-6.119647
Fc1c(N2CCN(C)CC2)cc2N(c3ncc(F)cc3)C=C(C(=O)O)C(=O)c2c1,585,-6.1194277
N(c1n(Cc2oc(C)cc2)c2ncccc2n1)C1CCNCC1,647,-6.1192622
O(C)c1ccc(C=2C(c3ccc(OC)cc3)=NC(=O)N(CC3CC3)N=2)cc1,112,-6.1192241
P(=O)(OP(=O)(OC[C@@]1[C@@](O)[C@@](O)[C@]([n+]2cc(C(=O)N)ccc2)O1)[O-])(OC[C@@]1[C@@](O)[C@@](O)[C@](n2c3ncnc(N)c3nc2)O1)O,180,-6.116466
F[C@]1[C@](C/C=C\CCCC(=O)O)[C@@](/C=C/[C@@](O)COc2ccccc2)[C@](O)C1,546,-6.116375
O=C(CC)[C@]1(C)[C@]2(C)[C@]([C@]3C(=C4C(=CC(=O)CC4)CC3)CC2)CC1,263,-6.1162562
Ic1c(CC(C(=O)O)CC)c(I)cc(I)c1N1C(=O)CCC1,335,-6.1156378
FC(F)(F)c1cc2N(CCCN3CCN(CCO)CC3)c3c(scc3)Sc2cc1,605,-6.114676
N(c1n(Cc2oc(C)cc2)c2ncccc2n1)C1CCNCC1,647,-6.1138668
S=C(NC(=O)OCC)Nc1c(NC(=S)NC(=O)OCC)cccc1,2,-6.1132112
Fc1ccc(C(N2CCN(CCOCC(=O)O)CC2)c2ccc(F)cc2)cc1,186,-6.1126471
FC(F)(F)c1cc(C(F)(F)F)cc(-c2nn(/C=C(/C(=O)N)\c3cncnc3)cn2)c1,417,-6.1126232
O=C1C(C)=C(c2ccccc2)Oc2c1cc(CN(CC)CC)cc2,383,-6.1123805
Oc1cc2c(cc1)CC(N1CCN(c3c(C)cccc3)CC1)CC2,119,-6.1098375
Fc1ccc(C2=C(CCN3CCN(c4ccccc4)CC3)OC(=O)O2)cc1,26,-6.1087666
O(CC#C)c1c(OCC(O)CNC(C)(C)C)cccc1,665,-6.1083508
O=C(O)[C@@](N[C@](C(=O)N1[C@](C(=O)O)SC(C(C)(C)C)=N1)C)CCc1ccccc1,631,-6.1080666
P(=O)(OC1[C@](OP(=O)(O)O)[C@@](O)C(O)[C@@](O)[C@]1OP(=O)(O)O)(O)O,345,-6.1067457
Fc1ccc(-c2[nH]c(CN3CCN(c4c5occc5ccc4)CC3)cc2)cc1,510,-6.1065855
O(CCNC(Cc1ccccc1)C)c1ccc(C(O)CC)cc1,272,-6.1061358
N(CCN(Cc1oc2c(c1)cccc2)c1ncccc1)(C)C,400,-6.1056843
O=C(OC)c1c(O)c2c(nc1)cc(N(CC)CC)c(CCC)c2,201,-6.1052403
Fc1ccc(C(=O)CCCN2CC3N(Cc4[nH]c5c(c4C3)cccc5)CC2)cc1,569,-6.1050382
O=C(Oc1cc(C(O)CNCC)ccc1)C(C)(C)C,313,-6.1045895
FC(F)(F)c1cc2N(CCCN3CCN(CCO)CC3)c3c(scc3)Sc2cc1,605,-6.1041899
O(CC(O)CNCCN1C(=O)NC(=O)C(C)=C1)c1c(C)cccc1,499,-6.1034136
Clc1ccc(-c2c(CC(=O)O)nn(-c3ccc(F)cc3)c2)cc1,255,-6.1023607
O=C(OC1CCN(c2nncc3c2cc(OC)c(OC)c3)CC1)NCC,365,-6.1023536
Fc1c(N2CCN(C)CC2)cc2N(c3ncc(F)cc3)C=C(C(=O)O)C(=O)c2c1,585,-6.1023417
O=C(OC1CCN(c2nncc3c2cc(OC)c(OC)c3)CC1)NCC,365,-6.1023211
Clc1c(-c2[nH]nnn2)c(O[C@@]2C[C@]3[C@](CN[C@](C(=O)OCC(CC)CC)C3)CC2)ccc1,385,-6.1017756
[Si](CCc1c2c(nc3c1CN1C(=O)C4=C([C@@](O)(CC)C(=O)OC4)C=C31)cccc2)(C)(C)C,573,-6.1008377
O=C(NC(C)C)c1c2c(OC[C@](N(C(C)C)CCC)C2)ccc1,113,-6.0999594
S=C(NC(=O)OCC)Nc1c(NC(=S)NC(=O)OCC)cccc1,2,-6.0996947
O=C(OC)c1c(O)c2c(nc1)cc(N(CC)CC)c(CCC)c2,201,-6.097858
O=C(CCc1ccccc1)c1ccc(OCCN(CC)CC)cc1,504,-6.0978165
O=C(Oc1cc2c(CCN)c(C)n(Cc3ccc(OC)cc3)c2cc1)C,563,-6.0973821
Fc1ccc(C(N2CCN(CCOCC(=O)O)CC2)c2ccc(F)cc2)cc1,186,-6.0961947
O=C(OC)Nc1[nH]c2c(n1)cc(C(=O)c1sccc1)cc2,47,-6.0954475
O=[N+]([O-])c1cc(C=2NC(=O)N(c3c(O)cccc3)CC=2)ccc1,670,-6.0945735
O(CC(O)CNC(C)(C)C)c1c2occc2c(O)c2C(=O)C=C(C)Oc12,264,-6.0938015
O=C1C(CCN2Cc3c4c(oc3CC2)cccc4)=C(C)N=C2N1C=CC=C2,624,-6.0937448
Oc1cc2c(cc1)CC(N1CCN(c3c(C)cccc3)CC1)CC2,119,-6.0929122
OCc1ccc(/C=C(\C)/c2cc3C(C)(C)C(O)CC(C)(C)c3cc2)cc1,500,-6.0911245
O(C)c1ccc(CC(NCC(O)c2cc(N)cc(CO)c2)C)cc1,601,-6.0905666
ClC(Cl)(Cl)C(O[C@@]1[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1)O,84,-6.0895309
O=C(OCCC(C)C)C=1OC=2c3c(c(C)c(C)cc3)NC(=O)C=2C(=O)C=1,685,-6.0887966
Clc1c(COC(Cn2cncc2)c2ccc(Cl)cc2)c(Cl)ccc1,586,-6.0887814
Clc1ccc(NC(=O)c2c(NC(=O)c3ccccc3)snc2C)cc1,33,-6.0887599
FC(F)(F)c1cc2N(CCCN3CCN(CCO)CC3)c3c(scc3)Sc2cc1,605,-6.0878439
O=C(O)C=1Oc2c(CCC)c3c(c(O)c2C(=O)C=1)CCCC3,65,-6.0877967
OCc1ccc(/C=C(\C)/c2cc3C(C)(C)C(O)CC(C)(C)c3cc2)cc1,500,-6.0872345
O(C)c1cc(NCCCCCNC(C)C)c2ncccc2c1,594,-6.0864892
FC(F)(F)Oc1ccc(-c2cc3c(C(=O)C(=O)O)cn(Cc4ccccc4)c3cc2)cc1,75,-6.0861974
O=C1N(N(C)C(C)=C1[N+](CCCC)(C)C)c1ccccc1,619,-6.0861416
O=C1NN=C(c2ccc(Nc3ccncc3)cc2)CC1,310,-6.0859184
Fc1ccc(-c2[nH]c(CN3CCN(c4c5occc5ccc4)CC3)cc2)cc1,510,-6.0856833
S(=O)(=O)(O)c1c2c(c(N)c(/N=N/c3ccc(-c4ccc(/N=N/c5c(N)c6c(c(S(=O)(=O)O)c5)cccc6)cc4)cc3)c1)cccc2,88,-6.0848327
O(CC(O)CNCCNc1c(C)n(C)nc1C)c1ccccc1,589,-6.0846291
O=C(OC)c1c(O)c2c(nc1)cc(N(CC)CC)c(CCC)c2,201,-6.0840936
S=C(Nc1ccc(OCC(C)C)cc1)Nc1ccc(-c2ncccc2)cc1,42,-6.0837255
N(C(CC1CCCCC1)C)CCC(c1ccccc1)c1ccccc1,422,-6.0808964
O=C(OCCN1CCCCC1)C(O)(c1ccccc1)c1ccccc1,420,-6.0806565
FC(F)(F)c1cc2N(CCCN3CCC(OCCO)CC3)c3c(Sc2cc1)cccc3,215,-6.0795536
O=C(N)C1(N2CCCCC2)CCN(CCCN2c3c(cccc3)CCc3c2cccc3)CC1,168,-6.0794172
FC(F)(F)c1cc2N(CCCN3CCC(OCCO)CC3)c3c(Sc2cc1)cccc3,215,-6.0788503
S(=O)(=O)(O)c1c2c(c(N)c(/N=N/c3ccc(-c4ccc(/N=N/c5c(N)c6c(c(S(=O)(=O)O)c5)cccc6)cc4)cc3)c1)cccc2,88,-6.078167
O=C(Nc1[nH]nnn1)C=1C(=O)N2C(=C(Oc3ccccc3)C=1)C=CC=C2,357,-6.0778561
O=C(OC(C#C)(c1ccccc1)c1ccccc1)NC1CCCCC1,471,-6.0767493
OC(CCC1CCNCC1)c1c2c(nc(C(C)(C)C)c1)cccc2,190,-6.0766487
ClC=1C(=O)N(C(C)(C)C)N=CC=1OCc1ccc(COCCF)cc1,401,-6.0755172
O=C(OCC[N+](CC)(CC)C)C1[N+](C)(C)C(C)CCC1,664,-6.0754805
O=C(N(C(C(=O)N(C)C)CC)CCC)/C=C/C,188,-6.0736966
Clc1ccc(C(OC(CN(C)C)C)(C)c2ccccc2)cc1,583,-6.0736885
O=C(Nc1ccccc1)c1c(OCCN(CC)CC)cccc1,266,-6.0729885
Fc1cc2c([nH]c3c2CN(CCCc2cnccc2)CC3)cc1,197,-6.0729537
O/N=C(/C(NCCCCNC(/C(=N/O)/C)(C)C)(C)C)\C,474,-6.0728374
Brc1oc(C(=O)OC(CC[N+](CC)(CC)C)C)cc1,582,-6.0716224
O(C(c1ccccc1)c1ccccc1)CCN(C/C=C/c1ccccc1)C,666,-6.0707445
O=C1N(N(c2ccccc2)C(O)=C1CCCC)c1ccccc1,71,-6.0690818
S(CCNC=1N(C)C(N)=NS(=O)(=O)N=1)Cc1nc(/N=C(\N)/N)sc1,269,-6.0685167
O=[N+]([O-])c1cc(C=2NC(=O)N(c3c(O)cccc3)CC=2)ccc1,670,-6.0684309
O(CC(O)CNCCNc1c(C)n(C)nc1C)c1ccccc1,589,-6.067781
ClC(Cl)(Cl)C(O[C@@]1[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)C(=CC(=O)CC4)CC3)CC2)CC1)O,84,-6.0667715
O(Cc1c(N2CCN(C[C@@]3Oc4c(OC3)cccc4)CC2)nccc1)C,540,-6.0667167
O(CC(O)CNC12CC3CC(C1)CC(C2)C3)c1ccccc1,614,-6.0657439
O(CC(O)CNC(C)(C)C)c1c2OC(=O)C=Cc2c(C)cc1,506,-6.0649395
O(C1=CC=2[C@@](C)([C@@]3[C@]([C@]4[C@@](C)([C@](O)(C)CC4)CC3)CC=2)CC1)C1CCCC1,248,-6.0645099
S(=O)(=O)(Nc1nc(CC)nc(CC)n1)c1ccc(N)cc1,399,-6.063859
O=C1C(C)=C(c2ccccc2)Oc2c1cc(CN(CC)CC)cc2,383,-6.0631323
O=C(CCc1ccccc1)c1ccc(OCCN(CC)CC)cc1,504,-6.0618629
O(C)c1c(OC)cc2c(c1)C=1N(C(=O)N=C(NC(C)(C)C)C=1)CC2,17,-6.0611758
S=C(Nc1ccc(OCC(C)C)cc1)Nc1ccc(-c2ncccc2)cc1,42,-6.0606976
O=C(Nc1c(OC)cc(C)cc1C)CCN1C(C)CCCC1,234,-6.0600486
Ic1c(Oc2cc(I)c(OC(=O)C)cc2)c(I)cc(C(=O)O)c1,296,-6.0593572
Brc1c(OC(=O)C)c(C(=S)Nc2ccc(Br)cc2)cc(Cl)c1,481,-6.0580568
O=C(OC)C(C)c1cc(C(n2cncc2)c2ccccc2)ccc1,149,-6.0579185
O=C(OCCCN1C(C)CCCC1)c1ccc(OC2CCCCC2)cc1,430,-6.057199
O=[N+]([O-])c1c(C2C(C(=O)OCC(=O)C)=C(C)NC(C)=C2C(=O)OC)cccc1,155,-6.0565162
O=C(Nc1c(OC)cc(C)cc1C)CCN1C(C)CCCC1,234,-6.054564
P(=O)(O/C(=C/C(=O)OC(C)c1ccccc1)/C)(OC)OC,575,-6.054389
O=C(OC1CCN(C)CC1)C(C(CC)C)c1ccccc1,223,-6.053606
O=C1C=C2[C@](C)(C=C1)[C@@]1[C@]([C@]3[C@@](C)([C@@](OC4=CCCC4)CC3)CC1)CC2,233,-6.0528555
O(C)c1cc(NCCCCCNC(C)C)c2ncccc2c1,594,-6.0527902
O=C([N-]c1on[n+](N2CCOCC2)c1)C1CCCCC1,102,-6.0523357
O=C(Nc1ccc(OC2(C)OC(=O)c3c(O2)cccc3)cc1)C,36,-6.0522456
O(CC(O)CNC(C)(C)C)c1c2occc2c(O)c2C(=O)C=C(C)Oc12,264,-6.0521126
O=C(O[C@@](C)[C@@]1[C@]2(COC(=O)C)[C@]([C@]3[C@@]([C@]4(C)[C@](C[C@@](N(C)C)CC4)CC3)CC2)CC1)C,636,-6.0521016
Fc1ccc(C2=C(CCN3CCN(c4ccccc4)CC3)OC(=O)O2)cc1,26,-6.0504193
O=C(OC1C2CC[N+](C)(C1)CC2)C(O)(c1ccccc1)C1CCCCC1,550,-6.0492468
Clc1c(Cl)cccc1[C@@]1C(C(=O)OC(C)C)=C(C)NC(C)=C1c1ocnn1,628,-6.049191
Clc1cc2nccc(Nc3cc(CNC(C)(C)C)c(O)c(-c4ccc(Cl)cc4)c3)c2cc1,140,-6.0491199
O(C(c1c(C(C)(C)C)cccc1)c1ccccc1)CCN(C)C,530,-6.0490842
Ic1c(CC(C(=O)O)CC)c(I)cc(I)c1N1C(=O)CCC1,335,-6.0485663
S(=O)(=O)(OCC)c1c2c(cc(C(C)(C)C)c1)cc(C(C)(C)C)cc2,278,-6.0483441
O=C(N)CCN1CCC(C(=O)OCC)(c2ccccc2)CC1,361,-6.0472417
O=C(OC)c1c(O)c2c(nc1)cc(N(CC)CC)c(CCC)c2,201,-6.0471115
S(=O)(=O)(NC(=N)Nc1oc(C)c(C)n1)c1ccc(N)cc1,268,-6.046999
C(Cc1n[nH]c(C)c1)N1CCN(c2cc(C)ccc2)CC1,224,-6.045157
O(CCNC(Cc1ccccc1)C)c1ccc(C(O)CC)cc1,272,-6.0438151
O=C(N(CC/C=C/1\c2c(cccc2)CCc2c\1cccc2)C)CCCN,85,-6.0436788
O(C)c1c(OC)ccc(C2CCN(CC[C@@]3c4c(OCC3)cccc4)CC2)c1,341,-6.0431595
O(C)c1c(CC(NC(Cc2c(OC)cccc2)C)C)cccc1,101,-6.041955
O=C(Nc1ccc(OC2(C)OC(=O)c3c(O2)cccc3)cc1)C,36,-6.041882
Clc1c(C(=O)Nc2[nH]ccn2)cc(CNC(=O)C(C)(C)C)cc1,25,-6.041347
O(CC(O)CNCCN1C(=O)NC(=O)C(C)=C1)c1c(C)cccc1,499,-6.0406361
O[C@]1(C)[C@]2(C)[C@]([C@]3[C@@]([C@]4(C)[C@](C/C(=N\N=C/5\[C@](C)C[C@]6(C)[C@@]7[C@]([C@]8[C@@](C)([C@](O)(C)CC8)CC7)CC[C@]6C\5)/[C@](C)C4)CC3)CC2)CC1,283,-6.0399342
Br/C(=C(\c1ccc(CC)cc1)/c1ccccc1)/c1ccccc1,332,-6.0392919
S(=O)(C)c1c(O)ccc(C(O)CNC(CCc2ccc(OC)cc2)C)c1,408,-6.0390358
O(CC#C)c1c(OCC(O)CNC(C)(C)C)cccc1,665,-6.038867
O=C(OCC[N+](CC)(CC)C)C1[N+](C)(C)C(C)CCC1,664,-6.0383396
O=C(O[C@@]1[C@]2(C)[C@]([C@@]3[C@](C)CC4=CC(=O)CC[C@@]4[C@]3CC2)CC1)C,351,-6.0376382
S(=O)(C)c1c(O)ccc(C(O)CNC(CCc2ccc(OC)cc2)C)c1,408,-6.035162
P(=O)(O/C(=C/C(=O)OC(C)c1ccccc1)/C)(OC)OC,575,-6.0348639
O(CC(O)CNC(C)(C)C)c1c2c(c(O)cc1)C1CCC2CC1,265,-6.032475
